Date,Open,High,Low,Close,Adj Close,Volume
2010-09-09,102.5,102.5,101.13999938964844,101.31999969482422,78.2130126953125,26500
2010-09-10,101.68000030517578,101.86000061035156,101.30000305175781,101.77999877929688,78.56812286376953,8600
2010-09-13,102.95999908447266,103.13999938964844,102.5,103.05999755859375,79.55619812011719,33750
2010-09-14,102.83999633789062,103.4800033569336,102.37999725341797,103.04000091552734,79.540771484375,59400
2010-09-15,102.62000274658203,103.37999725341797,102.4000015258789,103.30000305175781,79.74147033691406,9250
2010-09-16,103.0199966430664,103.31999969482422,102.69999694824219,103.26000213623047,79.71058654785156,59550
2010-09-17,103.87999725341797,103.87999725341797,103.0199966430664,103.36000061035156,79.78779602050781,49350
2010-09-20,103.73999786376953,105.04000091552734,103.45999908447266,105.04000091552734,81.08464050292969,19000
2010-09-21,105.0199966430664,105.44000244140625,104.27999877929688,104.72000122070312,80.83765411376953,19250
2010-09-22,104.55999755859375,105.04000091552734,103.95999908447266,104.16000366210938,80.40534210205078,18100
2010-09-23,103.31999969482422,104.33999633789062,103.12000274658203,103.30000305175781,79.74147033691406,33350
2010-09-24,103.94000244140625,104.9000015258789,103.86000061035156,104.83999633789062,81.36978149414062,24100
2010-09-27,104.9800033569336,104.9800033569336,104.33999633789062,104.33999633789062,80.98171997070312,15000
2010-09-28,104.31999969482422,105.0199966430664,103.41999816894531,105.0199966430664,81.5094985961914,49850
2010-09-29,104.58000183105469,104.91999816894531,104.22000122070312,104.5199966430664,81.12142944335938,15900
2010-09-30,105.19999694824219,105.68000030517578,103.95999908447266,104.36000061035156,80.99725341796875,44750
2010-10-01,105.08000183105469,105.16000366210938,104.16000366210938,104.72000122070312,81.27667236328125,17100
2010-10-04,105.26000213623047,105.26000213623047,103.5,103.83999633789062,80.59365844726562,88700
2010-10-05,105.0199966430664,106.19999694824219,104.81999969482422,106.12000274658203,82.3632583618164,19850
2010-10-06,106.12000274658203,106.27999877929688,105.62000274658203,105.94000244140625,82.22355651855469,276900
2010-10-07,106.5,106.5,105.31999969482422,105.87999725341797,82.17698669433594,49900
2010-10-08,106.0199966430664,106.73999786376953,105.66000366210938,106.68000030517578,82.79790496826172,61550
2010-10-11,106.72000122070312,106.83999633789062,106.27999877929688,106.5,82.65817260742188,14200
2010-10-12,106.37999725341797,107.23999786376953,105.73999786376953,107.12000274658203,83.13937377929688,42050
2010-10-13,107.58000183105469,108.27999877929688,107.23999786376953,107.76000213623047,83.63612365722656,74450
2010-10-14,107.69999694824219,107.81999969482422,106.80000305175781,107.36000061035156,83.32563018798828,19100
2010-10-15,108.04000091552734,108.08000183105469,106.72000122070312,107.55999755859375,83.48086547851562,54950
2010-10-18,107.62000274658203,108.44000244140625,107.44000244140625,108.33999633789062,84.08623504638672,22850
2010-10-19,107.13999938964844,107.68000030517578,106.0199966430664,106.62000274658203,82.75131225585938,38550
2010-10-20,106.94000244140625,108.16000366210938,106.94000244140625,107.76000213623047,83.63612365722656,22800
2010-10-21,108.26000213623047,108.76000213623047,107.30000305175781,107.91999816894531,83.76029968261719,29400
2010-10-22,108.16000366210938,108.19999694824219,107.94000244140625,108.18000030517578,83.96210479736328,24850
2010-10-25,109.0199966430664,109.27999877929688,108.45999908447266,108.5,84.21046447753906,29600
2010-10-26,107.91999816894531,108.55999755859375,107.87999725341797,108.4800033569336,84.1949234008789,15000
2010-10-27,107.73999786376953,108.22000122070312,107.22000122070312,108.13999938964844,83.93104553222656,17150
2010-10-28,108.76000213623047,108.81999969482422,107.76000213623047,108.22000122070312,83.99312591552734,19250
2010-10-29,108.0999984741211,108.41999816894531,108.0,108.30000305175781,84.05522155761719,13400
2010-11-01,108.91999816894531,109.41999816894531,107.76000213623047,108.36000061035156,84.10179138183594,51550
2010-11-02,109.22000122070312,109.41999816894531,108.86000061035156,109.19999694824219,84.75373840332031,26100
2010-11-03,109.41999816894531,109.66000366210938,108.31999969482422,109.66000366210938,85.11077880859375,31850
2010-11-04,110.9000015258789,111.80000305175781,110.73999786376953,111.72000122070312,86.7096176147461,49000
2010-11-05,111.9000015258789,112.30000305175781,111.68000030517578,112.16000366210938,87.05110931396484,48300
2010-11-08,111.87999725341797,112.08000183105469,111.5,112.0199966430664,86.94244384765625,43400
2010-11-09,112.18000030517578,112.30000305175781,110.80000305175781,111.13999938964844,86.25942993164062,35700
2010-11-10,111.16000366210938,111.5999984741211,110.31999969482422,111.55999755859375,86.58541107177734,28200
2010-11-11,110.68000030517578,111.27999877929688,110.41999816894531,111.19999694824219,86.30601501464844,24000
2010-11-12,110.4000015258789,110.86000061035156,109.37999725341797,109.81999969482422,85.23494720458984,39450
2010-11-15,110.30000305175781,110.5199966430664,109.63999938964844,109.72000122070312,85.15730285644531,202750
2010-11-16,109.0199966430664,109.0199966430664,107.4800033569336,107.95999908447266,83.79133605957031,32850
2010-11-17,108.05999755859375,108.45999908447266,107.77999877929688,108.04000091552734,83.8534164428711,42450
2010-11-18,109.08000183105469,109.91999816894531,109.08000183105469,109.63999938964844,85.09526062011719,26100
2010-11-19,109.5,109.94000244140625,109.04000091552734,109.9000015258789,85.2970199584961,20250
2010-11-22,109.41999816894531,109.80000305175781,108.58000183105469,109.80000305175781,85.21942138671875,25350
2010-11-23,108.55999755859375,108.63999938964844,107.91999816894531,108.26000213623047,84.02417755126953,142400
2010-11-24,108.94000244140625,109.77999877929688,108.94000244140625,109.66000366210938,85.11077880859375,30100
2010-11-26,108.95999908447266,109.4000015258789,108.81999969482422,109.04000091552734,84.62955474853516,32650
2010-11-29,108.36000061035156,109.16000366210938,107.66000366210938,108.94000244140625,84.55194091796875,46000
2010-11-30,107.95999908447266,108.86000061035156,107.81999969482422,108.18000030517578,83.96210479736328,91950
